ID_DISTRITO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,ID_MUNICIPIO,MUNICIPIO,DIST_LOC,LISTA_NOMINAL,PAN,PRI,PRD,PT,PVEM,PNA,MORENA,ES,PRI_PVEM_NA_ES,PRI_PVEM_NA,PRI_PVEM_ES,PRI_NA_ES,PRI_PVEM,PRI_NA,PRI_ES,PVEM_NA_ES,PVEM_NA,PVEM_ES,NA_ES,TERESA_CASTELL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS,FECHA,HORA_LLAMADA,HORA_CAPTURA,ORIGEN_CAPTURA,CAE,CLAVE_AUT
29,3347,C,1,0,1,60,"NEZAHUALCOYOTL",25,430,5,39,115,1,1,0,43,0,0,0,0,0,1,0,0,0,0,0,0,3,0,7,215,2017-06-04,20:59:48.185,21:02:22.061,cap-87,29-45,8844
12,2145,C,1,0,1,40,"IXTAPALUCA",40,694,11,56,63,2,6,1,98,5,1,0,0,0,0,0,0,0,0,0,0,8,0,12,263,2017-06-04,21:00:17.688,21:02:00.111,cap-47,12-99,8069
12,2163,C,4,0,1,40,"IXTAPALUCA",40,727,17,52,54,4,2,1,117,1,0,0,0,0,1,0,0,0,0,0,0,19,1,19,288,2017-06-04,20:59:10.654,21:01:56.438,cap-25,12-112,2092
7,886,B,1,0,1,25,"CUAUTITLAN IZCALLI",26,614,34,78,31,7,1,3,152,3,0,0,0,0,2,1,0,0,1,0,0,14,0,19,346,2017-06-04,20:59:00.625,21:01:53.681,cap-19,7-84,2923
34,5430,C,1,0,1,107,"TOLUCA",36,703,50,81,118,11,0,0,118,0,4,0,0,0,0,0,0,0,0,0,0,11,0,13,406,2017-06-04,20:58:31.954,21:01:22.310,cap-16,34-78,9301
11,1914,C,1,0,1,34,"ECATEPEC DE MORELOS",8,448,34,48,35,6,1,2,96,2,0,0,0,1,1,2,1,0,0,0,0,7,0,7,243,2017-06-04,20:58:38.426,21:01:15.679,cap-21,11-65,9995
8,5561,C,2,0,1,110,"TULTITLAN",11,701,33,107,37,4,1,4,121,3,0,0,0,0,1,0,1,0,0,0,0,8,1,9,330,2017-06-04,20:58:52.247,21:00:57.003,cap-50,8-47,9793
12,2094,C,2,0,1,40,"IXTAPALUCA",40,672,23,86,60,2,16,1,116,1,0,0,0,0,0,0,0,0,0,0,0,5,0,7,317,2017-06-04,20:58:18.292,21:00:55.562,cap-68,12-48,4459
5,4552,C,1,0,2,94,"TEPETLAOXTOC",39,594,32,127,21,1,2,4,122,1,0,0,0,0,1,0,0,0,0,0,0,3,0,8,322,2017-06-04,20:58:21.545,21:00:49.373,cap-66,5-90,7429
5,3897,B,1,0,1,66,"OTUMBA",39,634,20,158,17,3,2,2,177,1,0,0,1,0,2,1,0,0,0,0,0,0,0,10,394,2017-06-04,20:57:46.671,21:00:34.995,cap-115,5-57,4485
